Título,"Agregados Monetarios, M1","Agregados Monetarios, M1, Depósitos de exigibilidad inmediata en bancos 2/, Cuentas de cheques","Agregados Monetarios, M1, Depósitos de exigibilidad inmediata en bancos 2/, Cuentas de cheques, En moneda nacional","Agregados Monetarios, M1, Depósitos de exigibilidad inmediata en bancos 2/, Cuentas de cheques, En moneda extranjera","Agregados Monetarios, M1, Depósitos de exigibilidad inmediata en bancos 2/, Depósitos en cuenta corriente","Agregados Monetarios, M1, Depósitos de exigibilidad inmediata en bancos 2/, Depósitos en cuenta corriente, En moneda nacional","Agregados Monetarios, M1, Depósitos de exigibilidad inmediata en bancos 2/, Depósitos en cuenta corriente, En moneda extranjera","Agregados Monetarios, M2","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Captación a plazo","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Captación a plazo, En bancos 5/","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Captación a plazo, En bancos 5/, En moneda nacional","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Captación a plazo, En bancos 5/, En moneda extranjera","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Captación a plazo, En otras instituciones no bancarias","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Captación a plazo, En otras instituciones no bancarias, Uniones de crédito","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Captación a plazo, En otras instituciones no bancarias, Uniones de crédito, En moneda nacional","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Captación a plazo, En otras instituciones no bancarias, Uniones de crédito, En moneda extranjera","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Captación a plazo, En otras instituciones no bancarias, Entidades de ahorro y crédito popular 3/","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Acciones de los fondos de inversión de deuda","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Acreedores por reporto de valores 6/","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Acreedores por reporto de valores 6/, En moneda nacional","Agregados Monetarios, M2, Instrumentos monetarios a plazo en poder de residentes 4/, Acreedores por reporto de valores 6/, En moneda extranjera","Agregados Monetarios, M3","Agregados Monetarios, M3, Valores públicos en poder de residentes, Emitidos por el Gobierno Federal","Agregados Monetarios, M3, Valores públicos en poder de residentes, Emitidos por el Banco de México (BREMS) 7/","Agregados Monetarios, M3, Valores públicos en poder de residentes, Emitidos por el IPAB 8/","Agregados Monetarios, M4","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Depósitos de exigibilidad inmediata en bancos 2/","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Depósitos de exigibilidad inmediata en bancos 2/, En moneda nacional","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Depósitos de exigibilidad inmediata en bancos 2/, En moneda extranjera","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Captación a plazo en bancos 5/","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Captación a plazo en bancos 5/, En moneda nacional","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Captación a plazo en bancos 5/, En moneda extranjera","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Acciones de los fondos de inversión de deuda","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Valores públicos en poder de no residentes","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Valores públicos en poder de no residentes, Emitidos por el Gobierno Federal","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Valores públicos en poder de no residentes, Emitidos por el Banco de México (BREMS) 7/","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Valores públicos en poder de no residentes, Emitidos por el IPAB  8/","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Acreedores por reportos 6/","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Acreedores por reportos 6/, En moneda nacional","Agregados Monetarios, M4, Instrumentos monetarios en poder de no residentes, Acreedores por reportos 6/, En moneda extranjera"
Periodo disponible,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022,Dic 2000 - Mar 2022
Periodicidad,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual
Cifra,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos,Saldos
Unidad,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos,Miles de Pesos
Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,SF311408,SF311411,SF311412,SF311413,SF311414,SF311415,SF311416,SF311418,SF311420,SF311421,SF311422,SF311423,SF311424,SF311425,SF311426,SF311427,SF311428,SF311429,SF311430,SF311431,SF311432,SF311433,SF311435,SF311436,SF311437,SF311438,SF311440,SF311441,SF311442,SF311443,SF311444,SF311445,SF311446,SF311447,SF311448,SF311449,SF311450,SF311451,SF311452,SF311453
01/12/2000,575634760.3,326486811,266711674,59775137,66321426,66321426,N/E,1817196847,664885141.1,656268955.6,638036778.6,18232177,8616185.53,4281552.53,4281552.53,N/E,4334633,142916338.2,433760607,433760607,N/E,2002126638,142181990.5,5650481.5,37097319.6,2030929379,1772414,384867,1387547,14148914,3166500,10982414,4079629,8548868,8548868,0,0,252916,252916,N/E
01/01/2001,524836130,299030593.4,247030170.4,52000423,60506069,60506069,N/E,1776421088,657521439.5,648898762.5,636775642.5,12123120,8622677,4177349,4177349,N/E,4445328,146151066.5,447912452,447912452,N/E,1957967687,139631660.3,6288470.4,35626468.8,1984585651,1795693,364686,1431007,7674418,3651921,4022497,4121608,12492345.1,12492345.1,0,0,533899,533899,N/E
